"Chinés simplificat 
(RPC)","Chinés traditional 
(Taiwan, etc.)",HSK,Pronunciation,Signification
太阳,太陽,3,tàiyáng,sole
特别,特別,3,tèbié,special; specialmen; particularimen
疼,疼,3,téng,dolore; dolorar; amar tendrimen
提高,提高,3,tígāo,levar; elevar; ameliorar
体育,體育,3,tǐyù,exercitie corporal; sport
甜,甜,3,tián,dulci
条,條,3,tiáo,strie; (contator por objectes long e tenui); parte
同事,同事,3,tóngshì,colaborator
同意,同意,3,tóngyì,acordar; consentir; aprobar
头发,頭發,3,tóufa,capilles (del cap)
突然,突然,3,tūrán,subit; abrupt
图书馆,圖書館,3,túshūguǎn,biblioteca
腿,腿,3,tuǐ,gambe
完成,完成,3,wánchéng,compleer; completar; acompleer
碗,碗,3,wǎn,scudelle; tasse
万,萬,3,wàn,deci mill
忘记,忘記,3,wàngjì,obliviar
为,為,3,wèi,por; pro; a
为了,為了,3,wèile,por; por li motive de
位,位,3,wèi,position; location; (contator polit por persones)
文化,文化,3,wénhuà,cultura; civilisation
西,西,3,xī,west
习惯,習慣,3,xíguàn,hábitu; esser acustomat a; usu
洗手间,洗手間,3,xǐshǒujiān,wc; closette
洗澡,洗澡,3,xǐzǎo,balnear; duchar
夏,夏,3,xià,estive
先,先,3,xiān,prim; tost; ante
相信,相信,3,xiāngxìn,creder (alquem); esser convictet pri
香蕉,香蕉,3,xiāngjiāo,banane
向,向,3,xiàng,direction; vers; tornar se; frontar
像,像,3,xiàng,similar; aparentie; aspecte
小心,小心,3,xiǎoxīn,esser caut
校长,校長,3,xiàozhǎng,"principale (de un scol, universitá); presidente"
新闻,新聞,3,xīnwén,novas
新鲜,新鮮,3,xīnxiān,"frisc (experientie, manjage, etc.); nov"
信用卡,信用卡,3,xìnyòngkǎ,carte de credite
行李箱,行李箱,3,xínglǐxiāng,coffre; valise
熊猫,熊貓,3,xióngmāo,panda
需要,需要,3,xūyào,besonar; voler; demandar
选择,選擇,3,xuǎnzé,selecter
要求,要求,3,yāoqiú,demandar; exiger; postulation
爷爷,爺爺,3,yéye,avo (patre de patre)
一般,一般,3,yìbān,general; ordinari; comun; sam
一边,一邊,3,yìbiān,un látere; ye un látere; al sam témpor
一定,一定,3,yídìng,cert; necessimen; definit
一共,一共,3,yígòng,in tot
一会儿,一會兒,3,yíhuìr,un moment; un poc témpor
一样,一樣,3,yíyàng,sam; simil; egal a
一直,一直,3,yìzhí,sempre; rect (sequente un rect linea)
以前,以前,3,yǐqián,ante; anteyan
音乐,音樂,3,yīnyuè,musica
银行,銀行,3,yínháng,bank
饮料,飲料,3,yǐnliào,trincage
应该,應該,3,yīnggāi,deve; vell dever
影响,影響,3,yǐngxiǎng,influentie; efecter
用,用,3,yòng,usar
游戏,游戲,3,yóuxì,lude; recreation
有名,有名,3,yǒumíng,famosi; largmen conosset
又,又,3,yòu,denov; anc; ambi
遇到,遇到,3,yùdào,incontrar; colider con
元,元,3,yuán,yuan (pecunie chinés); dóllar; prim; principal
愿意,願意,3,yuànyì,esser voluntari; voler; esser pret
月亮,月亮,3,yuèliang,li lune
越,越,3,yuè,mem plu; plu…plu; exceder
站,站,3,zhàn,star; un station; star sur li pedes; centre de servicie
张,張,3,zhāng,(contator por plat objectes); expander se
长,長,3,"cháng, zhǎng",long; longore | crescer; chef
着急,著急,3,zháojí,suciar se; esser anxiosi
照顾,照顧,3,zhàogu,cuidar pri; dar consideration/indulgentie
照片,照片,3,zhàopiàn,pictura; foto
照相机,照相機,3,zhàoxiàngjī,cámera
只,隻,3,"zhī, zhǐ",ma; solmen | (contator por avies e cert animales)
只有,隻有,3,zhǐyǒu,solmen
才,才,3,cái,habilitá; ante ne long; ne ante
中间,中間,3,zhōngjiān,centre; medie; inter
中文,中文,3,Zhōngwén,lingue chinés
终于,終於,3,zhōngyú,in fine; ye li fine
种,種,3,zhǒng,tip; rasse; seme
重要,重要,3,zhòngyào,important; significant; majori
周末,周末,3,zhōumò,fine de semane
主要,主要,3,zhǔyào,chef; principal; majori
注意,注意,3,zhùyì,atenter; esser caut
自己,自己,3,zìjǐ,self; se self
自行车,自行車,3,zìxíngchē,bicicle
总是,總是,3,zǒngshì,sempre; in fine
嘴,嘴,3,zuǐ,bocca
最后,最后,3,zuìhòu,ultim; ultimmen
最近,最近,3,zuìjìn,recentmen; in ti-ci dies
作业,作業,3,zuòyè,tache hematri (por eleves); deventies; tache
爱情,愛情,4,àiqíng,(romantic) amore
安排,安排,4,ānpái,arangear; planar
安全,安全,4,ānquán,secur; securitá
按时,按時,4,ànshí,in just témpor; secun li plan temporal
按照,按照,4,ànzhào,secun; sequente
百分之,百分之,4,bǎifēnzhī,percent
棒,棒,4,bàng,baston; club; bonissim
包子,包子,4,bāozi,baozi (panette vaporeat e stuffat)
保护,保護,4,bǎohù,protecter; defender
保证,保證,4,bǎozhèng,garantir; far cert
报名,報名,4,bào míng,candidatar se; inscrir su nómine
抱,抱,4,bào,tener; inbrassar; tener in li armes; lullar
抱歉,抱歉,4,bàoqiàn,regretar; excusar se
